Freq.	V(out)
2.83850711386860e+00	(-7.49854525593788e-03dB,-1.73542881462469e+01°)
2.90462443816081e+00	(-8.27264473584011e-03dB,-1.77700699799538e+01°)
2.97228183277738e+00	(-9.12376630310163e-03dB,-1.81963260962357e+01°)
3.04151517056448e+00	(-1.00594249003041e-02dB,-1.86333523358327e+01°)
3.11236115995424e+00	(-1.10878590882186e-02dB,-1.90814545538668e+01°)
3.18485736442797e+00	(-1.22180997010131e-02dB,-1.95409490010960e+01°)
3.25904222243290e+00	(-1.34600448501445e-02dB,-2.00121627148476e+01°)
3.33495506776268e+00	(-1.48245418323745e-02dB,-2.04954339186382e+01°)
3.41263615041273e+00	(-1.63234765394274e-02dB,-2.09911124292149e+01°)
3.49212665792132e+00	(-1.79698710109409e-02dB,-2.14995600694337e+01°)
3.57346873720770e+00	(-1.97779898177255e-02dB,-2.20211510850218e+01°)
3.65670551691899e+00	(-2.17634560093039e-02dB,-2.25562725628445e+01°)
3.74188113029758e+00	(-2.39433774072554e-02dB,-2.31053248478058e+01°)
3.82904073858110e+00	(-2.63364840733246e-02dB,-2.36687219549509e+01°)
3.91823055494756e+00	(-2.89632778286038e-02dB,-2.42468919726929e+01°)
4.00949786901817e+00	(-3.18461947449350e-02dB,-2.48402774523536e+01°)
4.10289107193091e+00	(-3.50097815721894e-02dB,-2.54493357783707e+01°)
4.19845968199817e+00	(-3.84808871024882e-02dB,-2.60745395125828e+01°)
4.29625437096201e+00	(-4.22888695033446e-02dB,-2.67163767049301e+01°)
4.39632699086099e+00	(-4.64658206738060e-02dB,-2.73753511617130e+01°)
4.49873060152278e+00	(-5.10468086872746e-02dB,-2.80519826612007e+01°)
4.60351949869724e+00	(-5.60701393794474e-02dB,-2.87468071048837e+01°)
4.71074924284470e+00	(-6.15776381145782e-02dB,-2.94603765909935e+01°)
4.82047668859485e+00	(-6.76149527134991e-02dB,-3.01932593950750e+01°)
4.93276001489185e+00	(-7.42318784470575e-02dB,-3.09460398403709e+01°)
5.04765875584153e+00	(-8.14827058814588e-02dB,-3.17193180385737e+01°)
5.16523383227723e+00	(-8.94265922008684e-02dB,-3.25137094791133e+01°)
5.28554758406075e+00	(-9.81279564169660e-02dB,-3.33298444425852e+01°)
5.40866380313584e+00	(-1.07656898597790e-01dB,-3.41683672112084e+01°)
5.53464776735148e+00	(-1.18089642894665e-01dB,-3.50299350463517e+01°)
5.66356627507309e+00	(-1.29509003707976e-01dB,-3.59152169002301e+01°)
5.79548768059990e+00	(-1.42004873793653e-01dB,-3.68248918259031e+01°)
5.93048193040732e+00	(-1.55674732461153e-01dB,-3.77596470467813e+01°)
6.06862060023345e+00	(-1.70624171235298e-01dB,-3.87201756440678e+01°)
6.20997693302952e+00	(-1.86967433434556e-01dB,-3.97071738180613e+01°)
6.35462587779423e+00	(-2.04827963045331e-01dB,-4.07213376771829e+01°)
6.50264412931278e+00	(-2.24338957033263e-01dB,-4.17633595071687e+01°)
6.65411016882135e+00	(-2.45643913821850e-01dB,-4.28339234723256e+01°)
6.80910430561899e+00	(-2.68897169082385e-01dB,-4.39337007013735e+01°)
6.96770871964862e+00	(-2.94264408221653e-01dB,-4.50633437125124e+01°)
7.13000750506994e+00	(-3.21923143038306e-01dB,-4.62234801363361e+01°)
7.29608671484726e+00	(-3.52063137970971e-01dB,-4.74147057014711e+01°)
7.46603440637591e+00	(-3.84886769220806e-01dB,-4.86375764567855e+01°)
7.63994068817146e+00	(-4.20609297858357e-01dB,-4.98926002161329e+01°)
7.81789776764646e+00	(-4.59459035897748e-01dB,-5.11802272273095e+01°)
7.99999999999998e+00	(-5.01677382345626e-01dB,-5.25008400865793e+01°)
8.18634393824601e+00	(-5.47518704538023e-01dB,-5.38547429440749e+01°)
8.37702838440717e+00	(-5.97250038821475e-01dB,-5.52421500737434e+01°)
8.57215444190082e+00	(-6.51150583997792e-01dB,-5.66631739142355e+01°)
8.77182556914545e+00	(-7.09510961137504e-01dB,-5.81178127238964e+01°)
8.97614763441568e+00	(-7.72632214590736e-01dB,-5.96059380331341e+01°)
9.18522897197503e+00	(-8.40824531504644e-01dB,-6.11272821198260e+01°)
9.39918043951621e+00	(-9.14405661094335e-01dB,-6.26814257765212e+01°)
9.61811547693927e+00	(-9.93699020478210e-01dB,-6.42677866799481e+01°)
9.84215016649902e+00	(-1.07903148118286e+00dB,-6.58856087112044e+01°)
1.00714032943533e+01	(-1.17073083946616e+00dB,-6.75339526060160e+01°)
1.03059964135450e+01	(-1.26912298430163e+00dB,-6.92116883353271e+01°)
1.05460539084512e+01	(-1.37452878897465e+00dB,-7.09174896238332e+01°)
1.07917030607332e+01	(-1.48726076536487e+00dB,-7.26498310046559e+01°)
1.10430741168230e+01	(-1.60761953357202e+00dB,-7.44069877794236e+01°)
1.13003003569820e+01	(-1.73589017286887e+00dB,-7.61870392026458e+01°)
1.15635181659674e+01	(-1.87233853220178e+00dB,-7.79878751367429e+01°)
1.18328671053456e+01	(-2.01720758869519e+00dB,-7.98072063302396e+01°)
1.21084899874896e+01	(-2.17071394993900e+00dB,-8.16425783590308e+01°)
1.23905329512998e+01	(-2.33304459941570e+00dB,-8.34913891436949e+01°)
1.26791455396889e+01	(-2.50435398359786e+00dB,-8.53509098206840e+01°)
1.29744807788714e+01	(-2.68476153361660e+00dB,-8.72183086093812e+01°)
1.32766952595004e+01	(-2.87434970389820e+00dB,-8.90906771888257e+01°)
1.35859492196939e+01	(-3.07316259509045e+00dB,-9.09650589858742e+01°)
1.39024066299950e+01	(-3.28120520963091e+00dB,-9.28384786885412e+01°)
1.42262352803113e+01	(-3.49844336645909e+00dB,-9.47079722406507e+01°)
1.45576068688798e+01	(-3.72480427791943e+00dB,-9.65706165510630e+01°)
1.48966970933029e+01	(-3.96017776825852e+00dB,-9.84235581643285e+01°)
1.52436857437059e+01	(-4.20441809073107e+00dB,-1.00264040188650e+02°)
1.55987567980643e+01	(-4.45734628051218e+00dB,-1.02089426857807e+02°)
1.59620985197510e+01	(-4.71875296446226e+00dB,-1.03897225210288e+02°)
1.63339035573562e+01	(-4.98840153707220e+00dB,-1.05685103493726e+02°)
1.67143690468322e+01	(-5.26603160503101e+00dB,-1.07450906037434e+02°)
1.71036967160178e+01	(-5.55136260082677e+00dB,-1.09192664471906e+02°)
1.75020929915963e+01	(-5.84409746829634e+00dB,-1.10908605303856e+02°)
1.79097691085466e+01	(-6.14392632947592e+00dB,-1.12597153972115e+02°)
1.83269412221421e+01	(-6.45053005168012e+00dB,-1.14256935608684e+02°)
1.87538305225593e+01	(-6.76358364554878e+00dB,-1.15886772807379e+02°)
1.91906633521558e+01	(-7.08275943793236e+00dB,-1.17485680758549e+02°)
1.96376713254802e+01	(-7.40772997707632e+00dB,-1.19052860142611e+02°)
2.00950914520766e+01	(-7.73817064086644e+00dB,-1.20587688189356e+02°)
2.05631662621508e+01	(-8.07376193130830e+00dB,-1.22089708306615e+02°)
2.10421439351630e+01	(-8.41419144949896e+00dB,-1.23558618664131e+02°)
2.15322784314152e+01	(-8.75915555482943e+00dB,-1.24994260089767e+02°)
2.20338296267052e+01	(-9.10836071990078e+00dB,-1.26396603598779e+02°)
2.25470634501155e+01	(-9.46152459863612e+00dB,-1.27765737835835e+02°)
2.30722520250127e+01	(-9.81837682941088e+00dB,-1.29101856666543e+02°)
2.36096738133310e+01	(-1.01786595978585e+01dB,-1.30405247112469e+02°)
2.41596137632160e+01	(-1.05421279855332e+01dB,-1.31676277782851e+02°)
2.47223634601086e+01	(-1.09085501310416e+01dB,-1.32915387918498e+02°)
2.52982212813469e+01	(-1.12777072298078e+01dB,-1.34123077129553e+02°)
2.58874925543701e+01	(-1.16493933975200e+01dB,-1.35299895879343e+02°)
2.64904897186072e+01	(-1.20234154207070e+01dB,-1.36446436741425e+02°)
2.71075324911361e+01	(-1.23995924159763e+01dB,-1.37563326436216e+02°)
2.77389480362024e+01	(-1.27777554173437e+01dB,-1.38651218636918e+02°)
2.83850711386859e+01	(-1.31577469089157e+01dB,-1.39710787521417e+02°)
2.90462443816080e+01	(-1.35394203180290e+01dB,-1.40742722037148e+02°)
2.97228183277737e+01	(-1.39226394818744e+01dB,-1.41747720838981e+02°)
3.04151517056447e+01	(-1.43072780986770e+01dB,-1.42726487855699e+02°)
3.11236115995423e+01	(-1.46932191727085e+01dB,-1.43679728438042e+02°)
3.18485736442796e+01	(-1.50803544607679e+01dB,-1.44608146040382e+02°)
3.25904222243289e+01	(-1.54685839263172e+01dB,-1.45512439388317e+02°)
3.33495506776267e+01	(-1.58578152061681e+01dB,-1.46393300085737e+02°)
3.41263615041272e+01	(-1.62479630935048e+01dB,-1.47251410616834e+02°)
3.49212665792131e+01	(-1.66389490400652e+01dB,-1.48087442700934e+02°)
3.57346873720769e+01	(-1.70307006794874e+01dB,-1.48902055960759e+02°)
3.65670551691898e+01	(-1.74231513731446e+01dB,-1.49695896867650e+02°)
3.74188113029757e+01	(-1.78162397792224e+01dB,-1.50469597930242e+02°)
3.82904073858109e+01	(-1.82099094453262e+01dB,-1.51223777096034e+02°)
3.91823055494755e+01	(-1.86041084245299e+01dB,-1.51959037338226e+02°)
4.00949786901816e+01	(-1.89987889144778e+01dB,-1.52675966402892e+02°)
4.10289107193090e+01	(-1.93939069189175e+01dB,-1.53375136694242e+02°)
4.19845968199816e+01	(-1.97894219308616e+01dB,-1.54057105278112e+02°)
4.29625437096200e+01	(-2.01852966364469e+01dB,-1.54722413986122e+02°)
4.39632699086097e+01	(-2.05814966384621e+01dB,-1.55371589604998e+02°)
4.49873060152277e+01	(-2.09779901984560e+01dB,-1.56005144137467e+02°)
4.60351949869723e+01	(-2.13747479962988e+01dB,-1.56623575122854e+02°)
4.71074924284469e+01	(-2.17717429060525e+01dB,-1.57227366007047e+02°)
4.82047668859484e+01	(-2.21689497870074e+01dB,-1.57816986552923e+02°)
4.93276001489183e+01	(-2.25663452887482e+01dB,-1.58392893283540e+02°)
5.04765875584152e+01	(-2.29639076691372e+01dB,-1.58955529951539e+02°)
5.16523383227722e+01	(-2.33616166241263e+01dB,-1.59505328029176e+02°)
5.28554758406074e+01	(-2.37594531283387e+01dB,-1.60042707214271e+02°)
5.40866380313582e+01	(-2.41573992853946e+01dB,-1.60568075948143e+02°)
5.53464776735146e+01	(-2.45554381869894e+01dB,-1.61081831942250e+02°)
5.66356627507307e+01	(-2.49535537797629e+01dB,-1.61584362710896e+02°)
5.79548768059989e+01	(-2.53517307390319e+01dB,-1.62076046107807e+02°)
5.93048193040731e+01	(-2.57499543484861e+01dB,-1.62557250864906e+02°)
6.06862060023344e+01	(-2.61482103849748e+01dB,-1.63028337131949e+02°)
6.20997693302950e+01	(-2.65464850075344e+01dB,-1.63489657016052e+02°)
6.35462587779421e+01	(-2.69447646498248e+01dB,-1.63941555120408e+02°)
6.50264412931275e+01	(-2.73430359151590e+01dB,-1.64384369081748e+02°)
6.65411016882133e+01	(-2.77412854733218e+01dB,-1.64818430106313e+02°)
6.80910430561897e+01	(-2.81394999583760e+01dB,-1.65244063504257e+02°)
6.96770871964860e+01	(-2.85376658666601e+01dB,-1.65661589222561e+02°)
7.13000750506992e+01	(-2.89357694541735e+01dB,-1.66071322376641e+02°)
7.29608671484723e+01	(-2.93337966325389e+01dB,-1.66473573780932e+02°)
7.46603440637588e+01	(-2.97317328627172e+01dB,-1.66868650478758e+02°)
7.63994068817144e+01	(-3.01295630456282e+01dB,-1.67256856271888e+02°)
7.81789776764644e+01	(-3.05272714088088e+01dB,-1.67638492250125e+02°)
7.99999999999995e+01	(-3.09248413882068e+01dB,-1.68013857321330e+02°)
8.18634393824598e+01	(-3.13222555041744e+01dB,-1.68383248742188e+02°)
8.37702838440714e+01	(-3.17194952306824e+01dB,-1.68746962649990e+02°)
8.57215444190080e+01	(-3.21165408567300e+01dB,-1.69105294595612e+02°)
8.77182556914542e+01	(-3.25133713388697e+01dB,-1.69458540077722e+02°)
8.97614763441565e+01	(-3.29099641437129e+01dB,-1.69806995078122e+02°)
9.18522897197500e+01	(-3.33062950792122e+01dB,-1.70150956597883e+02°)
9.39918043951618e+01	(-3.37023381134531e+01dB,-1.70490723193744e+02°)
9.61811547693924e+01	(-3.40980651796103e+01dB,-1.70826595513887e+02°)
9.84215016649899e+01	(-3.44934459656487e+01dB,-1.71158876831892e+02°)
1.00714032943533e+02	(-3.48884476872654e+01dB,-1.71487873577229e+02°)
1.03059964135450e+02	(-3.52830348424882e+01dB,-1.71813895860154e+02°)
1.05460539084512e+02	(-3.56771689462579e+01dB,-1.72137257988291e+02°)
1.07917030607332e+02	(-3.60708082432393e+01dB,-1.72458278971507e+02°)
1.10430741168230e+02	(-3.64639073970211e+01dB,-1.72777283010886e+02°)
1.13003003569820e+02	(-3.68564171537872e+01dB,-1.73094599966718e+02°)
1.15635181659673e+02	(-3.72482839784736e+01dB,-1.73410565799343e+02°)
1.18328671053456e+02	(-3.76394496613631e+01dB,-1.73725522975511e+02°)
1.21084899874896e+02	(-3.80298508930320e+01dB,-1.74039820831541e+02°)
1.23905329512998e+02	(-3.84194188055396e+01dB,-1.74353815883013e+02°)
1.26791455396888e+02	(-3.88080784777642e+01dB,-1.74667872068980e+02°)
1.29744807788714e+02	(-3.91957484028336e+01dB,-1.74982360916708e+02°)
1.32766952595004e+02	(-3.95823399156949e+01dB,-1.75297661610804e+02°)
