Freq.	V(out)
6.59449048629148e+02	(3.76385093783819e-01dB,-5.71438449097633e+01°)
6.74809590228417e+02	(3.89363367248246e-01dB,-5.86023459550103e+01°)
6.90527924804587e+02	(4.02482702860070e-01dB,-6.01033475864953e+01°)
7.06612386426705e+02	(4.15709157324529e-01dB,-6.16483993000759e+01°)
7.23071503289228e+02	(4.29003745370421e-01dB,-6.32391244902673e+01°)
7.39914002233777e+02	(4.42321875769925e-01dB,-6.48772252799677e+01°)
7.57148813376230e+02	(4.55612713782817e-01dB,-6.65644878313821e+01°)
7.74785074841585e+02	(4.68818455864298e-01dB,-6.83027882008155e+01°)
7.92832137609113e+02	(4.81873499047007e-01dB,-7.00940988059253e+01°)
8.11299570470376e+02	(4.94703483155953e-01dB,-7.19404955789403e+01°)
8.30197165102722e+02	(5.07224178771039e-01dB,-7.38441658823908e+01°)
8.49534941260963e+02	(5.19340187421431e-01dB,-7.58074172637864e+01°)
8.69323152089986e+02	(5.30943412665796e-01dB,-7.78326871206660e+01°)
8.89572289561099e+02	(5.41911251253178e-01dB,-7.99225533351119e+01°)
9.10293090035018e+02	(5.52104442239399e-01dB,-8.20797459139040e+01°)
9.31496539954427e+02	(5.61364498540217e-01dB,-8.43071596326168e+01°)
9.53193881669135e+02	(5.69510629776386e-01dB,-8.66078676233856e+01°)
9.75396619396916e+02	(5.76336047354999e-01dB,-8.89851357592772e+01°)
9.98116525323202e+02	(5.81603522678796e-01dB,-9.14424375635942e+01°)
1.02136564584285e+03	(5.85040047636953e-01dB,-9.39834691978898e+01°)
1.04515630794729e+03	(5.86330424063135e-01dB,-9.66121638430075e+01°)
1.06950112576049e+03	(5.85109587355643e-01dB,-9.93327044651292e+01°)
1.09441300722709e+03	(5.80953451752884e-01dB,-1.02149533532872e+02°)
1.11990516095639e+03	(5.73368055228563e-01dB,-1.05067357699353e+02°)
1.14599110322572e+03	(5.61776787172881e-01dB,-1.08091144762630e+02°)
1.17268466514697e+03	(5.45505511400259e-01dB,-1.11226109351356e+02°)
1.20000000000000e+03	(5.23765463672332e-01dB,-1.14477682744205e+02°)
1.22795159073690e+03	(4.95633924266590e-01dB,-1.17851461039735e+02°)
1.25655425766108e+03	(4.60032864134417e-01dB,-1.21353124607852e+02°)
1.28582316628512e+03	(4.15706063638133e-01dB,-1.24988320502223e+02°)
1.31577383537182e+03	(3.61195632578640e-01dB,-1.28762498522049e+02°)
1.34642214516235e+03	(2.94819441203121e-01dB,-1.32680691245375e+02°)
1.37778434579625e+03	(2.14651710459613e-01dB,-1.36747229145725e+02°)
1.40987706592743e+03	(1.18509879703572e-01dB,-1.40965384553488e+02°)
1.44271732154089e+03	(3.95178944501014e-03dB,-1.45336943555995e+02°)
1.47632252497485e+03	(-1.31711977875291e-01dB,-1.49861713730023e+02°)
1.51071049415300e+03	(-2.91385328694124e-01dB,-1.54536988303942e+02°)
1.54589946203176e+03	(-4.78128500242946e-01dB,-1.59357003570615e+02°)
